
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=155>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=156>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=157>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=158>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=159>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=160>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=161>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=162>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=163>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=164>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=165>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=166>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=167>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=168>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=169>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=170>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=171>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=172>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=173>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=174>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=175>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=176>
socket set <socket.socket fd=3, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=177>
socket set <socket.socket fd=4, family=AddressFamily.AF_APPLETALK, type=SocketKind.SOCK_DGRAM, proto=178>
